State,Value_2019
Alabama,7.8
Alaska,10.1
Arizona,8.9
Arkansas,6.7
California,13
Colorado,9.4
Connecticut,11.8
Delaware,8.7
District of Columbia,9.4
Florida,11.2
Georgia,8.7
Hawaii,12.7
Idaho,7.1
Illinois,9.5
Indiana,6.5
Iowa,5.8
Kansas,5.9
Kentucky,6.9
Louisiana,8.6
Maine,8.8
Maryland,8.7
Massachusetts,9.8
Michigan,7.5
Minnesota,6.5
Mississippi,8.7
Missouri,7
Montana,8.7
Nebraska,7
Nevada,10
New Hampshire,9.8
New Jersey,12.1
New Mexico,9.1
New York,12
North Carolina,8.3
North Dakota,5.2
Ohio,6.4
Oklahoma,6.8
Oregon,9.8
Pennsylvania,8.2
Rhode Island,9.3
South Carolina,8.5
South Dakota,5.6
Tennessee,7.4
Texas,8.5
Utah,7.2
Vermont,10.9
Virginia,7.9
Washington,8.7
West Virginia,6
Wisconsin,6
Wyoming,6.9
