State,Value_2020
California,67375.00
New York,16206.00
Massachusetts,15108.00
Washington,3745.00
Texas,3358.00
North Carolina,2970.00
Florida,2905.00
Illinois,2831.00
Colorado,2314.00
Georgia,1925.00
Pennsylvania,1631.00
New Jersey,1558.00
Minnesota,1525.00
Maryland,1129.00
Utah,953.00
Ohio,951.00
Virginia,804.00
Connecticut,712.00
Missouri,687.00
Michigan,549.00
Tennessee,542.00
DC,410.00
Arizona,394.00
Oregon,379.00
Indiana,225.00
Wisconsin,213.00
Delaware,209.00
Kentucky,199.00
Nebraska,186.00
Nevada,180.00
Louisiana,145.00
Iowa,142.00
New Hampshire,119.00
Alabama,102.00
Idaho,87.00
Kansas,72.00
Rhode Island,52.00
Vermont,50.00
South Carolina,47.00
Wyoming,45.00
Montana,44.00
South Dakota,40.00
New Mexico,37.00
Maine,18.00
Oklahoma,17.00
Hawaii,16.00
Arkansas,5.00
North Dakota,2.00
PR,1.00
West Virginia,0.00
Alaska,0.00
Mississippi,0.00
